Cantonese (Traditional),Cantonese (Simplified),Jyutping,Yale,English 1,English 2,Tags
喂！好耐冇見。得閒飲茶。,喂！好耐冇见。得闲饮茶。,wai! hou2 noi6 mou5 gin3. dak1 haan4 jam2 caa4.,wai! hóu noih móuh gin. dāk hàahn yám chàh.,"Hey, long time no see. Let's get together and have a drink.",,Cantonese::Phrase
你最近點呀？,你最近点呀？,nei5 zeoi3 gan6 dim2 aa3,néih jeui gahn dím a,How have you been lately?,,Cantonese::Phrase
好耐冇見。你最近點呀？,好耐冇见。你最近点呀？,hou2 noi6 mou5 gin3. nei5 zeoi3 gan6 dim2 aa3?,hóu noih móuh gin. néih jeui gahn dím a?,"Hey, long time no see. How have you been lately?",,Cantonese::Phrase
唔該坐低,唔该坐低,m4 goi1 co5 dai1,m̀h gōi chóh dāi,Please sit down,,Cantonese::Phrase
唔該，我想問路。,唔该，我想问路。,"m4 goi1, ngo5 soeng2 man6 lou6","m̀h gōi, ngóh seúng mahn louh",Excuse me. I want to ask for directions.,,Cantonese::Phrase
唔好意思,唔好意思,m4 hou2 ji3 si1,m̀h hóu yi sī,I am sorry (for causing trouble),,Cantonese::Phrase
而家幾點？,而家几点？,ji4 gaa1 gei2 dim2?,yìh gā géi dím?,What time is it?,,Cantonese::Phrase
...喺邊呀？,...喺边呀？,...hai2 bin1 aa3?,...hái bīn a?,Where is the (location)?,,Cantonese::Phrase
洗手間喺邊呀？,洗手间喺边呀？,sai2 sau2 gaan1 hai2 bin1 aa3?,sái sáu gāan hái bīn a?,Where is the bathroom?,,Cantonese::Phrase
即係點呀？,即系点呀？,zik1 hai6 dim2 aa3,jīk haih dím a,What do you mean?,,Cantonese::Phrase
幾多錢呀？,几多钱呀？,gei2 do1 cin2 aa3?,géi dō chín a,How much is it?,,Cantonese::Phrase
幾錢呀？,几钱呀？,gei2 cin2 aa3?,géi chín a,How much is it?,,Cantonese::Phrase
埋單，唔該。,埋单，唔该。,"maai4 daan1, m4 goi1","màaih dāan, m̀h gōi","Check, please.",,Cantonese::Phrase
鼠,鼠,syu2,syú,rat,,Cantonese::Animals Cantonese::Chinese-Zodiac
牛,牛,ngau4,ngàuh,the Ox,,Cantonese::Animals Cantonese::Chinese-Zodiac
虎,虎,fu2,fú,Tiger,,Cantonese::Animals Cantonese::Chinese-Zodiac
兔,兔,tou3,tou,rabbit,,Cantonese::Animals Cantonese::Chinese-Zodiac
龍,龙,lung4,lùhng,dragon,,Cantonese::Animals Cantonese::Chinese-Zodiac
馬,马,maa5,máh,horse,,Cantonese::Animals Cantonese::Chinese-Zodiac
羊,羊,joeng4,yeùhng,goat,,Cantonese::Animals Cantonese::Chinese-Zodiac
猴,猴,hau4,hàuh,monkey,,Cantonese::Animals Cantonese::Chinese-Zodiac
雞,鸡,gai1,gāi,chicken / rooster,,Cantonese::Animals Cantonese::Chinese-Zodiac
豬,猪,zyu1,jyū,the pig,,Cantonese::Animals Cantonese::Chinese-Zodiac
我喺香港,我喺香港,ngo5 hai2 hoeng1 gong2,ngóh hái heūng góng,I'm in Hong Kong,,Cantonese::Verbs
我唔係女人,我唔系女人,ngo5 m4 hai6 neoi5 jan4,ngóh m̀h haih néuih yàhn,I am not a woman,,Cantonese::Verbs
我有一隻貓,我有一只猫,ngo5 jau5 jat1 zek3 maau1,ngóh yáuh yāt jek māau,I have one cat,,Cantonese::Verbs
我冇錢,我冇钱,ngo5 mou5 cin2,ngóh móuh chín,I don't have money,,Cantonese::Verbs
我去夏威夷,我去夏威夷,ngo5 heoi3 haa6-wai1-ji4,ngóh heoi hah-wāi-yìh,I (will) go to Hawaii,,Cantonese::Verbs
你嚟啦,你嚟啦,nei5 lei4 laa1,néih lèih lā,(You) come over here,,Cantonese::Verbs
可以,可以,ho2 ji3,hó yi,to be able to / can / may,,Cantonese::Verbs
我可以彈琴,我可以弹琴,ngo5 ho2 ji3 taan4 kam4,ngóh hó yi tàahn kàhm,I can play piano,,Cantonese::Verbs
要,要,jiu3,yiu,want,need,Cantonese::Verbs
我要食飯,我要食饭,ngo5 jiu3 sik6 faan6,ngóh yiu sihk faahn,I need to eat (rice/food),,Cantonese::Verbs
我 要食嘢,我 要食嘢,ngo5 jiu3 sik6 ye5,ngóh yiu sihk yéh,I need to eat something,,Cantonese::Verbs
想,想,soeng2,seúng,want to,would like to,Cantonese::Verbs
我想飲咖啡,我想饮咖啡,ngo5 soeng2 jam2 gaa3 fe1,ngóh seúng yám ga fē,I want to drink coffee,,Cantonese::Verbs
我整鞋,我整鞋,ngo5 zing2 haai4,ngóh jíng hàaih,I make shoes,,Cantonese::Verbs
做功課,做功课,zou6 gung1 fo3,jouh gūng fo,to do homework,,Cantonese::Verbs
我食包,我食包,ngo5 sik6 baau1,ngóh sihk bāau,I eat a bun / bread,,Cantonese::Verbs
我飲水,我饮水,ngo5 jam2 seoi2,ngóh yám séui,I drink water,,Cantonese::Verbs
我鍾意你呀,我钟意你呀,ngo5 zung1 ji3 nei5 aa3,ngóh jūng yi néih a,I like you,,Cantonese::Verbs
我學廣東話,我学广东话,ngo5 hok6 gwong2 dung1 waa2,ngóh hohk gwóng dūng wá,I learn Cantonese,,Cantonese::Verbs
我問問題,我问问题,ngo5 man6 man6 tai4,ngóh mahn mahn tàih,I ask a question,,Cantonese::Verbs
講,讲,gong2,góng,to say,speak,Cantonese::Verbs
我講廣東話,我讲广东话,ngo5 gong2 gwong2 dung1 waa2,ngóh góng gwóng dūng wá,I speak Cantonese,,Cantonese::Verbs
我聽音樂,我听音乐,ngo5 teng1 jam1 ngok6,ngóh tēng yām ngohk,I listen to the music,,Cantonese::Verbs
我諗我遲到,我谂我迟到,ngo5 lam2 ngo5 ci4 dou3,ngóh lám ngóh chìh dou,I think I'm late,,Cantonese::Verbs
知道,知道,zi1 dou3,jī dou,to know,,Cantonese::Verbs
我知道你呃我,我知道你呃我,ngo5 zi1 dou3 nei5 ngak1 ngo5,ngóh jī dou néih ngāk ngóh,I know you lied to me,,Cantonese::Verbs
我識廣東話,我识广东话,ngo5 sik1 gwong2 dung1 waa6,ngóh sīk gwóng dūng wah,I know Cantonese,,Cantonese::Verbs
一件衫,一件衫,jat1 gin6 saam1,yāt gihn sāam,one shirt,,Cantonese::BobaBreak
啱,啱,ngaam1,ngāam,1. correct 2. suitable 3. happen to,,Cantonese::BobaBreak
服裝,服装,fuk6 zong1,fuhk jōng,clothing,,Cantonese::BobaBreak
服裝店,服装店,fuk6 zong1 dim3,fuhk jōng dim,boutique,,Cantonese::BobaBreak
特價,特价,dak6 gaa3,dahk ga,on sale,,Cantonese::BobaBreak
打折,打折,daa2 zit3,dá jit,discount,,Cantonese::BobaBreak
大道,大道,daai6 dou6,daaih douh,avenue,,Cantonese::BobaBreak
附近,附近,fu6 gan6,fuh gahn,nearby,in the vicinity,Cantonese::BobaBreak
原價,原价,jyun4 gaa3,yùhn ga,original price,,Cantonese::BobaBreak
抵,抵,dai2,dái,affordable,good deal,Cantonese::BobaBreak
有時,有时,jau5 si4,jáu sìh,sometimes,,Cantonese::Adverbs Cantonese::BobaBreak
出街,出街,ceot1 gaai1,cheūt gāai,to go out,,Cantonese::BobaBreak
叉電,叉电,caa1 din6,chā dihn,to recharge,,Cantonese::BobaBreak
等於,等于,dang2 jyu1,dáng yū,equal to,,Cantonese::BobaBreak
力,力,lik6,lihk,strength,energy,Cantonese::BobaBreak
聽落,听落,teng1 lok6,tēng lohk,sounds like,,Cantonese::BobaBreak
辛苦,辛苦,san1 fu2,sān fú,laborious,,Cantonese::BobaBreak
鬱,郁,juk1,yūk,to move,,Cantonese::BobaBreak
茶水間,茶水间,caa4 seoi2 gaan1,chàh séui gāan,to have time,,Cantonese::BobaBreak
珍珠奶茶,珍珠奶茶,zan1 zyu1 naai5 caa4,jān jyū náaih chàh,Bubble tea,,Cantonese::BobaBreak
一定,一定,jat1 ding6,yāt dihng,must,,Cantonese::BobaBreak
喝膠樽裝飲品,喝胶樽装饮品,hot3 gaau1 zeon1 zon1 jam2 ban2,hot gāau jēun jōn yám bán,to drink from a plastic bottle,,Food
淡水,淡水,taam5 seoi2,táahm séui,fresh water,,Food
華盛頓特區,华盛顿特区,waa4 sing6 deon6 dak6 keoi1,wàh sihng deuhn dahk kēui,Washington DC,,Cantonese::Cities Cantonese::Lessons
紐約,纽约,nau2 yoek3,náu yoek,New York,,Cantonese::Cities Cantonese::Lessons
波士頓,波士顿,bo1 si6 deon6,bō sih deuhn,Boston,,Cantonese::Cities Cantonese::Lessons
洛杉磯,洛杉矶,lok6 caam3 gei1,lohk chaam gēi,Los Angeles,,Cantonese::Cities Cantonese::Lessons
溫哥華,温哥华,wan1 go1 waa4,wān gō wàh,Vancouver,,Cantonese::Cities Cantonese::Lessons
三藩市,三藩市,saam1 faan4 si5,sāam fàahn síh,San Francisco,,Cantonese::Cities Cantonese::Lessons
多倫多,多伦多,do1 leon4 do1,dō leùhn dō,Toronto,,Cantonese::Cities Cantonese::Lessons
紀念碑,纪念碑,gei2 nim6 bei1,géi nihm bēi,monument,,Cantonese::Lessons
前日早餐我食咗多士配牛油同藍莓果醬。,前日早餐我食咗多士配牛油同蓝莓果酱。,cin4 jat6 zou2 caan1 ngo5 sik6 zo2 do1 si2 pui3 ngau4 jau4 tung4 laam4 mui2 gwo2 zoeng3。,chình yaht jóu chāan ngóh sihk jó dō sí pui ngàuh yàuh tùngh làamh múi gwó jeung,Two days ago for breakfast I had toast with butter and blueberry jam.,,Cantonese::Lessons Cantonese::Phrase
午 安,午 安,ng5 on1,ńgh ōn,Good afternoon,,Cantonese::Lessons Cantonese::Phrase
我 好 好,我 好 好,ngo5 hou2 hou2,ngóh hóu hóu,How are you?,,Cantonese::Lessons Cantonese::Phrase
遲啲見,迟啲见,ci4 di1 gin3,chìh di gīn,See you later!,,Cantonese::Lessons Cantonese::Phrase
祝 你 好 運！,祝 你 好 运！,zuk1 nei5 hou2 wan6 ！,jūk néih hóu wahn,Good luck!,,Cantonese::Lessons Cantonese::Phrase
歡 迎 光 臨 我 哋 餐 廳,欢 迎 光 临 我 哋 餐 厅,fun1 ying4 gwong1 lam4 ngo5 dei6 chaan1 teng1,fūn yìhng gwōng làhm ngóh deih chhāan tēng,Welcome to our restaurant,,Cantonese::Lessons Cantonese::Phrase
請 先 坐 低,请 先 坐 低,ching2 sin1 cho5 dai1,chhíng sīn chhóh dāi,Please have a seat,,Cantonese::Lessons Cantonese::Phrase
請 坐 喺 呢 度,请 坐 喺 呢 度,ching2 cho5 hai2 ni1 dou6。,chhíng chhóh hái nī douh。,Please sit here,,Cantonese::Lessons Cantonese::Phrase
請 入 嚟,请 入 嚟,ceng2 jap6 lai4,chéng yahp làih,Please come in,,Cantonese::Lessons Cantonese::Phrase
唔 該 ，我 可 唔 可 以 要 個 英 文 餐 牌？,唔 该 ，我 可 唔 可 以 要 个 英 文 餐 牌？,m4 goi1， ngo5 ho2 m4 ho2 yi5 yiu3 go3 ying1 man4 chaan1 paai2？,m̀h gōi， ngóh hó m̀h hó yíh yiu go yīng màhn chhāan páai？,"Can I have a menu in English, please?",,Cantonese::Lessons Cantonese::Phrase
當 然 可 以 ，呢 度,当 然 可 以 ，呢 度,"dong1 yin4 ho2 yi5, ni1 hou6","dōng yìhn hó yíh, nī houh","Sure, here it is",,Cantonese::Lessons Cantonese::Phrase
當 然 可 以,当 然 可 以,dong1 yin4 ho2 yi5,dōng yìhn hó yíh,Sure,,Cantonese::Lessons Cantonese::Phrase
好 ，請 等 等,好 ，请 等 等,hou2， ching2 dang2 dang2,hóu， chhíng dáng dáng,"Sure, please wait a moment",,Cantonese::Lessons Cantonese::Phrase
請 問 要 啲 咩,请 问 要 啲 咩,cing2 man6 yiu3 di1 me1,chíng mahn yiu dī mē,What would you like to order?,,Cantonese::Lessons Cantonese::Phrase
我 仲 未 知,我 仲 未 知,ngo5 zung6 mei6 zi1,ngóh juhng meih jī,I don't know yet,,Cantonese::Lessons Cantonese::Phrase
我 推 介 番 茄 湯,我 推 介 番 茄 汤,ngo5 teoi1 gaai3 faan1 ke2 tong1,ngóh tēui gaai fāan ké tōng,I recommend the tomato soup,,Cantonese::Lessons Cantonese::Phrase
你 想 飲 咩,你 想 饮 咩,nei5 seung2 yam2 me1？,néih seúng yám mē？,What would you like to drink,,Cantonese::Lessons Cantonese::Phrase
你 飲 唔 飲 酒？,你 饮 唔 饮 酒？,nei5 yam2 m4 yam2 jau2？,néih yám m̀h yám yáu？,Do you drink alcohol?,,Cantonese::Lessons Cantonese::Phrase
你 想 唔 想 要 啲 水,你 想 唔 想 要 啲 水,nei5 seung2 m4 seung2 yiu5 di1 seui2？,néih seúng m̀h seúng yiúh,Would you like some water?,,Cantonese::Lessons Cantonese::Phrase
我 想 要 一 杯 綠 茶,我 想 要 一 杯 绿 茶,ngo5 seung2 yiu3 yat1 bui1 luk6 cha4,ngóh séung yiu yāt būi luhk chhàh,I would like to drink a cup of green tea,,Cantonese::Lessons Cantonese::Phrase
熱 定 凍,热 定 冻,yit6 ding6 dung3,yiht dihng dung,hot or cold?,,Cantonese::Lessons Cantonese::Phrase
熱 嘅 綠 茶 ，唔 該,热 嘅 绿 茶 ，唔 该,"jit6 ge3 luk6 ca4, m4 goi1","yiht ge luhk chàh, m̀h gōi","Hot green tea, please.",,Cantonese::Lessons Cantonese::Phrase
你 想 唔 想 要 甜 品,你 想 唔 想 要 甜 品,nei5 seung2 m4 seung2 yiu3 tim4 ban2,néih seúng m̀h seúng yiu tìhm bán,Would you like dessert?,,Cantonese::Lessons Cantonese::Phrase
今 日 係 星 期 幾,今 日 系 星 期 几,gam1 yat6 hai6 sing1 kei4 gei2,gām yaht haih sīng kèih géi,What day is it today?,,Cantonese::Lessons Cantonese::Phrase
今日星期日,今日星期日,gam1 yat6 sing1 kei4 yat6,gām yaht sīng kèih yaht,Today is Sunday,,Cantonese::Lessons Cantonese::Phrase
你 今 日 下 晝 有 咩 做,你 今 日 下 昼 有 咩 做,nei5 gam1 jat6 ha6 zau3 jau5 me1 zou6,néih gām yaht hah jau yáuh mē jouh,What did you do this afternoon?,,Cantonese::Lessons Cantonese::Phrase
我 打 籃 球,我 打 篮 球,ngo5 da2 laam4 kau4,ngóh dá làahm kàuh,I play basketball,,Cantonese::Lessons Cantonese::Phrase
我 去 郵 局 寄 明 信 片,我 去 邮 局 寄 明 信 片,ngo5 heui3 yau4 guk2 gei3 ming4 seun3 pin2,ngóh heui yàuh gúk gei mìhng seun pín,I go to the post office to send postcards,,Cantonese::Lessons Cantonese::Phrase
我 去 咖 啡 店 買 咖 啡,我 去 咖 啡 店 买 咖 啡,ngo5 heoi3 gaa3 fe1 dim3 maai5 gaa3 fe1,góh heui ga fē dim máaih ga fē,I buy a cup of coffee at the coffee shop,,Cantonese::Lessons Cantonese::Phrase
我 去 學 校,我 去 学 校,ngo5 heui3 hok6 haau6,ngóh heui hohk haauh,I go to school,,Cantonese::Lessons Cantonese::Phrase
你通常星期日有咩做？,你通常星期日有咩做？,nei5 tung1 seung4 sing1 kei4 yat6 yau5 me1 zou6？,néih tūng seùhng sīng kèih yaht yáuh mē jouh？,What do you usually do on Sunday?,,Cantonese::Lessons Cantonese::Phrase
我 學 法 文,我 学 法 文,ngo5 hok6 faat3 man2,ngóh hohk faat mán,I learn French,,Cantonese::Lessons Cantonese::Phrase
星 期 日 我 通 常 去 學 中 文,星 期 日 我 通 常 去 学 中 文,sing1 kei4 yat6 ngo5 tung1 seung4 heui3 zung1 man2,sīng kèih yaht ngóh tūng seùhng heui jūng mán,"On Sunday, I usually learn Chinese",,Cantonese::Lessons Cantonese::Phrase
星期五我通常都去咖啡店,星期五我通常都去咖啡店,sing1 kei4 ng5，ngo5 tung1 soeng4 dou1 heoi3 gaa3 fe1 dim3,sīng kèih ńgh ngóh tūng sèuhng dōu heui ga fē dim,"On Fridays, I usually go to the coffee shop",,Cantonese::Lessons Cantonese::Phrase
星期四下晝我通常同朋友約會,星期四下昼我通常同朋友约会,sing1 kei4 sei3 haa6 zau3 ngo5 tung1 soeng4 tung4 pang4 jau5 joek3 wui2,sīng kèih sei hah jau ngóh tūng sèuhng tùhng pàhng yáuh yeuk wuih,"On Thursday afternoons, I usually hang out with my friends",,Cantonese::Lessons Cantonese::Phrase
我會去博物館,我会去博物馆,ngo5 wui2 heoi3 bok3 mat6 gun2,ngóh wúih heui bok maht gún,I will go to the museum,,Cantonese::Lessons Cantonese::Phrase
我 會 留 喺 屋 企,我 会 留 喺 屋 企,ngo5 wui6 lau4 hai2 uk1 kei2,ngóh wúih làuh hái ūk kéih,I will stay at home,,Cantonese::Lessons Cantonese::Phrase
我會去藥房買維他命畀我爸爸,我会去药房买维他命畀我爸爸,ngo5 wui2 heoi3 joek6 fong4 maai5 wai4 taa1 ming6 bei2 ngo5 baa1 baa1,ngóh wúih heui yeuhk fòhng máaih wàih tā mihng béi ngóh bàh bā,I will buy vitamins at the pharmacy for my father,,Cantonese::Lessons Cantonese::Phrase
我 會 請 你 食 晚 餐,我 会 请 你 食 晚 餐,ngo5 wui2 cing2 nei5 sik6 maan5 caan1,ngóh wúi chéng néih sihk máahn chāan,I will take you out for dinner,,Cantonese::Lessons Cantonese::Phrase
你會做咩,你会做咩,nei5 wui2 zou6 me1,néih wúi jouh mē,What will you do?,,Cantonese::Lessons Cantonese::Phrase
可能嘅話我會返屋企,可能嘅话我会返屋企,ho2 nang4 ge3 waa6 ngo5 wui5 faan1 uk1 kei5,hó nàhng ge wah ngóh wúih fāan ūk kéi,"If possible, I will go home",,Cantonese::Lessons Cantonese::Phrase
而家幾點,而家几点,yi4 ga1 gei2 dim2,yìh gā géi dím,What time is it now?,,Cantonese::Lessons Cantonese::Phrase
朝早九點九,朝早九点九,ziu1 zou2 gau2 dim2 gau2,zīu zóu gáu dím gáu,It is 9:45am,,Cantonese::Lessons Cantonese::Phrase
而家朝早七點,而家朝早七点,yi4 ga1 ziu1 zou2 cat1 dim2,yìh gā zīu zóu chāt dím,It is 7am,,Cantonese::Lessons Cantonese::Phrase
而家係夜晚七點,而家系夜晚七点,yi4 gaa1 hai6 ye6 maan5 cat1 dim2,yìh gā haih yeh máahn cāt dím,Right now it is 7pm,,Cantonese::Lessons Cantonese::Phrase
而家係下晝四點二十二分,而家系下昼四点二十二分,ji4 gaa1 hai6 haa6 zau3 sei3 dim2 ji6 sap6 ji6 dim2,yìh gā haih hah jau sei dím yih sahp yih fān,Right now it is 4:22pm,,Cantonese::Lessons Cantonese::Phrase
而家係朝早七點三十七分,而家系朝早七点三十七分,ji4 gaa1 hai6 ziu1 zou2 cat1 dim2 saam1 sap6 cat1 fan1,yìh gā haih jīu jóu chāt dím sāam sahp chāt fān,Now it is 7:37am,,Cantonese::Lessons Cantonese::Phrase
而家係凌晨十二點零二分,而家系凌晨十二点零二分,yi4 gaa1 hai6 ling4 san4 sap6 yi6 dim2 ling4 yi6 fan1,yìh gā haih lìhng sàhn sahp yih dím lìhng yih fān,It is now 12:02am,,Cantonese::Lessons Cantonese::Phrase
鳳爪,凤爪,fung6 zaau2,fuhng záau,Chicken Feet,,Food
蝦餃,虾饺,haa1 gaau2,hā gáau,shrimp dumplings,,Food
甜酸排骨,甜酸排骨,tim4 syun1 paai4 gwat1,tìhm syūn pàaih gwāt,Sweet and Sour Pork Spare Ribs,,Food
腸粉,肠粉,coeng4 fan2,chèuhng fán,rice noodle roll,cheung fun,Food
叉燒包,叉烧包,caa1 siu1 baau1,chā sīu bāau,BBQ pork bun (dim sum),,Food
介,介,gaai3,gāai,to introduce,,
乎,乎,fu4,fùh,in,,
介乎,介乎,gaai3 fu4,gāai fùh,to lie in-between,,
法,法,faat3,fāat,"French, France",,
法國,法国,faat3 gwok3,fāat gwōk,France,,
與,与,yu5,yúh,to participate in,,
旺,旺,wong6,wohng,popular and busy,,
角,角,gok3,gōk,Role,,
旺角,旺角,wong6 gok3,wohng gōk,Mong Kok (area in Hong Kong),,
的,的,dik1,dik,of,,
詩,诗,si3,sī,poetic,,
意,意,ji3,jī,idea,,
詩意,诗意,si3 ji3,sī jī,poetry,,
介乎法國與旺角的詩意,介乎法国与旺角的诗意,gaai3 fu4 faat3 gwok3 jyu5 wong6 gok3 dik1 si1 ji3,gaai fùh faat gwok yúh wohng gok dīk sī yi,Something Between Montparnasse and Mongkok,,
再,再,zoi3,zoi,again,,Cantonese::Adverbs
約,约,yoek3,yoek,to weigh in a balance or on a scale,,
多,多,do1,dō,many,,
畀,畀,bei2,bei,allow,,
畀我再約多你一次,畀我再约多你一次,bei2 ngo5 zoi3 yoek3 do1 nei5 jat1 ci3,béi ngóh joi yoek dō néih yāt chi,Let me make one more date with you,,
次,次,ci3,chi,next in sequence,,
這,这,ze2,jé,this,,
件,件,gin6,gihn,mail,,
事,事,si6,sih,issue,,
回,回,wui4,wuìh,to curve,,Cantonese::Verbs
到,到,dou3,dou,to reach,,
公,公,gung1,gūng,grandfather (mothers father),,
司,司,si1,sī,to take charge of,,
不,不,bat1,bāt,(negative prefix),,
會,会,wui2,wuí,seminar,,
知,知,zi1,zī,yes,,
交換,交换,gaau1 wun6,gaaū wuhn,to exchange,,
換,换,wun6,wuhn,to exchange,,Cantonese::Verbs
交,交,gaau1,gaaū,to exchange,,
禮物,礼物,lai5 mat6,láih maht,Gift,,
心意,心意,sam1 yi3,sām yi,regard,,
放進去,放进去,fong3 zeon3 heoi3,fong jeun heui,put it in,,
放,放,fong3,fong,to zoom,,
進,进,zeon3,jeon,to get in / into,,
雪,雪,syut3,syut,Snow,,
櫃,柜,gwai6,gwaih,(noun) (of cargo),,
雪櫃,雪柜,syut3 gwai6,syut gwaih,refrigerator,,
用,用,yung6,yuhng,to use,,
黃色,黄色,wong4 sik1,wòhng sīk,yellow (color),,
膠袋,胶袋,gaau1 doi2,gaau doí,(noun) a plastic bag,,
包起,包起,baau1 hei2,baaū heí,accept total responsibility,,
不會,不会,bat1 wui5,bāt wuíh,improbable,,
有人,有人,yau5 yan4,yaúh yàhn,someone,,
懷疑,怀疑,waai4 yi4,wàaih yìh,to doubt,,
歌詞,歌词,go1 ci4,gō chìh,song lyrics,,
副歌,副歌,fu3 go1,fu gō,chorus,,
其實,其实,kei4 sat6,kèih saht,Actually,,Cantonese::Adverbs
不願,不愿,bat1 yun6,bāt yuhn,unwilling,,
公司,公司,gung1 si1,gūng sī,shops,,
全都,全都,cyun4 dou1,chyùhn dōu,all,,
因,因,yan1,yān,cause,,
為,为,wai6,waih,as (verb),,
全,全,cyun4,chyùhn,all,,
太,太,taai3,taai,(adjective) (of generations) Great-grand,,
鍾,钟,zung1,jūng,handleless cup,,
主,主,zyu2,zyú,owner,,
歌,歌,go1,gō,(verb) praise,,
主歌二,主歌二,zyu2 go1 yi6,zyú gō yih,main song two,,
頭先,头先,tau4 sin1,tàuh sīn,before,,
開會,开会,hoi1 wui2,hōi wúi,to have a meeting,,
耐,耐,noi6,noih,long (duration),,
情人節,情人节,cing4 yan4 zit3,chìngh yành jit,Valentine's Day,,
客,客,haak3,haak,customer,,
悶,闷,mun6,munh,boring,,
備課,备课,bei6 fo3,beih fo,to make lesson plans,,
每個,每个,mui5 go3,múih go,every,,
唔一定,唔一定,m4 yat1 ding6,mh yāt dingh,not necessarily,,
最少,最少,zeoi3 siu2,jeui síu,at least,,
後,后,hau6,hauh,after,,
