English,Arabic,Bengali,Chinese (Traditional),Farsi,French,German,Pashto,Portuguese,Spanish,Swahili,Turkish,Ukrainian,Urdu,Part of Speech,Example sentence,Grammar explanation,
Laconic,مقتضب,সংক্ষিপ্ত,簡潔,کوتاه,laconique,knapp,لنډ,lacônico,lacónico,ufupi,kısa,лаконічний,مختصر,adjective,A laconic reply followed.,Very brief speech.,
Laggy,بطيء ومتقطع,ধীর ও আটকে যায় এমন,延遲卡頓的,کند و پرتاخیر,lent et saccadé,verzögert,ورو او ځنډېدونکی,lento e travando,lento y trabado,ya kuchelewa,kasma yapan,зависаючий,سست اور اٹکنے والا,adjective,My phone becomes laggy when too many apps are open.,Responding slowly because of performance delays.,
Lament,يندب,বিলাপ করা,哀悼,سوگواری,lamentation,klagen,نارې کول,lamentar,lamentar,kulalamika,yas tutmak,оплакувати,نوحہ کرنا,verb,They lamented the loss.,To express sorrow.,
Lamentable,مؤسف,দুঃখজনক,可悲,تأسف‌بار,lamentable,bedauerlich,افسوسناک,lamentável,lamentable,ya kusikitisha,üzücü,жалюгідний,افسوسناک,adjective,The result was lamentable.,Regrettable.,
Latency,زمن الاستجابة,ল্যাটেন্সি,延遲,تأخیر,latence,Latenz,ځنډ,latência,latencia,ucheleweshaji,gecikme,затримка,لیٹنسی,noun,High latency caused delays during the video call.,The time delay in data transmission or processing.,
Latent,كامن,লুকায়িত,潛在,نهفته,latent,latent,پټ,latente,latente,iliyofichwa,gizli,прихований,پوشیدہ,adjective,Latent issues emerged.,Hidden but present.,
Laudable,جدير بالثناء,প্রশংসনীয়,值得讚揚,ستودنی,laudable,lobenswert,د ستاینې وړ,louvável,loable,ya kusifiwa,övgüye değer,схвальний,قابل تعریف,adjective,Laudable efforts were made.,Worthy of praise.,
Left out,متروك بالخارج,বাইরে ফেলে রাখা,忘在外面的,置置 شده,laissé dehors,liegen gelassen,بهر پاتې شوی,deixado de fora,dejado afuera,imeachwa nje,dışarıda bırakılmış,залишений зовні,باہر چھوڑا ہوا,adjective,The milk was left out overnight and spoiled.,Not put away or accidentally forgotten somewhere.,
Leftovers,بقايا الطعام,অবশিষ্ট খাবার,剩菜,غذای باقی‌مانده,restes,Essensreste,پاتې خواړه,sobras,sobras,mabaki ya chakula,artan yemekler,залишки їжі,بچا ہوا کھانا,noun,We ate leftovers from last night’s dinner.,Food remaining after a meal.,
Legislature,السلطة التشريعية,বিধানসভা,立法機關,قوه مقننه,législature,Legislative,مقننه قوه,legislatura,legislatura,bunge,yasama organı,законодавча влада,مقننہ,noun,The legislature passed law.,Law-making body.,
Legitimate,شرعي,বৈধ,合法的,مشروع,légitime,legitim,مشروع,legítimo,legítimo,halali,meşru,законний,جائز,adjective,They had a legitimate claim.,Conforming to law or reason.,
Let someone off the hook,يعفي من المسؤولية,দায়মুক্ত করা,放某人一馬,بخشیدن کسی,libérer quelqu’un de ses responsabilités,jemanden davonkommen lassen,معاف کول,livrar alguém,dejar libre a alguien,kumsamehe biriini kurtarmak,звільнити від відповідальності,چھوڑ دینا,idiom,The teacher let him off the hook with only a warning.,To free someone from blame or punishment.,,
Lethargic,خامل,অলস,昏睡的,بی‌حال,léthargique,träge,بې انرژي,léthargico,letárgico,mlegevu,uyuşuk,млявий,سست,adjective,He felt lethargic after the meal.,Lacking energy or sluggish.,
Lethargy,خمول,অলসতা,昏睡,بی‌حالی,Lethargie,Lethargie,سستي,letargia,letargo,uchovu,halsizlik,млявість,سستی,noun,He was overcome by lethargy.,Lack of energy.,
Levity,خفة,হালকাপনা,輕率,سبکی,légèreté,Leichtsinn,سبکی,leviandade,ligereza,kutoheshimu,şakacılık,легковажність,ہلکا پن,noun,His levity annoyed them.,Insincere humor.,
Liability,مسؤولية,দায়,責任,مسئولیت,responsabilité,Haftung,ذمہ داري,responsabilidade,responsabilidad,wajibu,sorumluluk,відповідальність,ذمہ داری,noun,He accepted liability.,Legal responsibility.,
Liquidity,السيولة,তারল্য,流動性,نقدینگی,liquidité,Liquidität,مایعیت,liquidez,liquidez,uwezo wa fedha,Likidite,ліквідність,لیکویڈیٹی,noun,Liquidity is essential.,Ease of converting assets.,
Liquidity crisis,أزمة السيولة,তারল্য সংকট,流動性危機,بحران نقدینگی,crise de liquidité,Liquiditätskrise,د نقدو بحران,crise de liquidez,crisis de liquidez,uhaba wa fedha,Likidite krizi,криза ліквідності,لیکویڈیٹی بحران,noun,A liquidity crisis emerged.,Cash shortage.,
Litigation,التقاضي,মামলা পরিচালনা,訴訟,دادرسی,contentieux,Rechtsstreit,قضايي دعوه,litigação,litigio,mashauri ya kisheria,dava süreci,судовий процес,مقدمہ بازی,noun,The corporation spent millions on litigation costs.,The process of taking legal action in court.,
Livestream,بث مباشر,লাইভস্ট্রিম,直播,پخش زنده,diffusion en direct,Livestream,ژوندی خپرونه,transmissão ao vivo,transmisión en vivo,utangazaji wa moja kwa moja,canlı yayın,пряма трансляція,لائیو اسٹریم,noun,Thousands watched the livestream of the concert.,A real-time online video broadcast.,
Load-bearing,حامل للأحمال,ভার বহনকারী,承重的,باربر,porteur,tragend,د وزن وړ,portante,de carga,inayobeba uzito,yük taşıyan,несучий,وزن اٹھانے والا,adjective,The wall is load-bearing and cannot be removed safely.,Capable of supporting structural weight.,
Lobbying,الضغط السياسي,লবিং,遊說,لابی‌گری,lobbying,Lobbyismus,لابي کول,lobbying,lobbying,shinikizo la kisiasa,Lobicilik,лобіювання,لابی کاری,noun,Lobbying influenced policy.,Advocacy pressure.,
Loquacious,ثرثار,বাচাল,多話,پرگو,loquace,gesprächig,ډېر خبرې کوونکی,loquaz,loquaz,msemaji,konaşkan,балакучий,بکواس,adjective,A loquacious speaker impressed no one.,Talkative.,
Lucid,واضح,স্পষ্ট,清晰,روشن,lucide,klar,روښانه,lúcido,lúcido,wazi,açık,ясний,واضح,adjective,A lucid explanation helped.,Clear and understandable.,
Luminous,مضيء,উজ্জ্বল,發光,درخشان,lumineux,leuchtend,ځلانده,luminoso,luminoso,angavu,parlak,світний,روشن,adjective,A luminous sky appeared.,Shining or bright.,
Lurid,فاضح,ভয়াবহ,駭人,هولناک,lugubre,schrecklich,ډارونکی,lúgubre,lúgubre,ya kutisha,ürkütücü,жахливий,خوفناک,adjective,A lurid story emerged.,Grotesque or shocking.,
Macroeconomics,الاقتصاد الكلي,ম্যাক্রো অর্থনীতি,宏觀經濟,اقتصاد کلان,macroéconomie,Makroökonomie,کلان اقتصاد,macroeconomia,macroeconomía,macroeconomia,makroekonomi,макроекономіка,معاشیات کل,noun,Macroeconomics studies growth.,Whole-economy study.,
Magnify,يكبر,বড় করা,放大,بزرگ کردن,agrandir,vergrößern,لوړول,ampliar,ampliar,kukuza,büyütmek,збільшувати,بڑھانا,verb,The lens magnifies images.,To enlarge.,
Make a long story short,باختصار,সংক্ষেপে বলতে,長話短說,خلاصه بگویم,pour faire court,kurz gesagt,لنډه دا چې,resumindo,en resumen,kwa kifupi,uzun lafın kısası,коротко кажучи,مختصر یہ کہ,idiom,"To make a long story short, we missed the flight.",Used before giving a brief summary.,
Make ends meet,يدبر أموره المالية,খরচ চালানো,勉強維持生計,سر کردن زندگی,joindre les deux bouts,über die Runden kommen,خرڅ برابرول,fazer as contas fecharem,llegar a fin de mes,kutosheleza mahitaji,geçinmek,зводити кінці з кінцями,گزارا کرنا,idiom,It’s difficult to make ends meet with rising rent prices.,To earn just enough money to cover expenses.,
Malicious,خبيث,বিদ্বেষপূর্ণ,惡意,بدخواه,malveillant,böswillig,بد نیت,malicioso,malicioso,ya uovu,kötü niyetli,зловмисний,بد نیتی,adjective,Malicious rumors spread quickly.,Intending harm.,
Malleable,قابل للتشكيل,নমনীয়,可塑的,شکل‌پذیر,malléable,verformbar,انعطاف منونکی,maleável,maleable,lainayobadilika,esnek,ковкий,نرم,adjective,Gold is a malleable metal.,Easily shaped or influenced.,
Mandate,تفويض/ولاية,ম্যান্ডেট,授權,اختیار,mandat,Mandat,صلاحیت,mandato,mandato,mamlaka,Mandat,мандат,اختیار,noun,The government has mandate.,Authority from voters.,
Mandate system,نظام الانتداب,ম্যান্ডেট ব্যবস্থা,委任統治,قیمومیت,mandat système,Mandatssystem,د واک نظام,sistema de mandato,sistema de mandato,mfumo wa udhamini,Mandat sistemi,мандатна система,نظامِ مینڈیٹ,noun,The mandate system governed colonies.,League of Nations system.,
Maverick,متمرد,বিদ্রোহী,特立獨行,یاغی,maverick,Querdenker,بغاوتي,maverick,maverick,mpinzani,asi kurallara uymayan,незалежний,باغی,noun,He is a political maverick.,Independent thinker.,
Melancholy,حزن,বিষণ্ণতা,憂鬱,اندوه,mélancolie,Melancholie,خفګان,melancolia,melancolía,huzuni,melankoli,меланхолія,اداسی,noun,A feeling of melancholy lingered after finishing the tragic novel.,"A deep, reflective sadness.",
Mendacious,كاذب,মিথ্যাবাদী,虛偽,دروغگو,mensonger,lügnerisch,دروغجن,mendaz,mendaz,mwongo,yalancı,брехливий,جھوٹا,adjective,Mendacious claims spread quickly.,Lying.,
Mendacity,كذب,মিথ্যাচার,虛偽,دروغ,mensonge,Lüge,دروغ,mendacidade,mendacidad,uwongo,yalan,брехливість,جھوٹ,noun,Mendacity damaged trust.,Falsehood.,
Mercurial,متقلب,চঞ্চল,善變,دمدمی مزاج,mercureux,launisch,ناپایدار,mercurial,mercurial,mwenye kubadilika,oynak,мінливий,متغیر المزاج,adjective,A mercurial temperament.,Fickle or changeable.,
Meretricious,براق كاذب,নকল ঝলমলে,俗氣,فریبنده,meretricious,aufgesetzt,مصنوعي,meretricio,meretricio,ya bandia,sahte gösterişli,показний,جعلی چمکدار,adjective,Meretricious charm faded.,Superficially attractive.,
Merger,اندماج,মার্জার,合併,ادغام,fusion,Fusion,ادغام,fusão,fusión,muungano,birleşme,злиття,انضمام,noun,The merger was approved.,Company combination.,
Messy,فوضوي,এলোমেলো,凌亂的,نامرتب,en désordre,unordentlich,ګډوډ,bagunçado,desordenado,chafu dağınık,безладний,بکھرا ہوا,adjective,His desk is always messy after work.,"Disorganized, untidy, or not clean.",,
Methodology,منهجية,পদ্ধতিবিজ্ঞান,研究方法,روش‌شناسی,méthodologie,Methodik,طريقه,methodologia,metodología,mbinu metodolojisi,методологія,طریقہ کار,noun,The paper’s methodology was carefully explained.,A system of methods used in research or analysis.,,
Meticulous,دقيق,নির্ভুল,一絲不苟,دقیق,méticuleux,akribisch,ډېر دقیق,meticuloso,meticuloso,makini,dikkatli,ретельний,انتہائی دقیق,adjective,She is meticulous in work.,Very careful.,
Microcontroller,متحكم دقيق,মাইক্রোকন্ট্রোলার,微控制器,میکروکنترلر,microcontrôleur,Mikrocontroller,کوچنی کنټرولر,microcontrolador,microcontrolador,mdhibiti mdogo,mikrodenetleyici,мікроконтролер,مائیکرو کنٹرولر,noun,The washing machine uses a microcontroller for automation.,A compact integrated circuit used to control devices.,
Microeconomics,الاقتصاد الجزئي,মাইক্রো অর্থনীতি,微觀經濟,اقتصاد خرد,microéconomie,Mikroökonomie,جزوي اقتصاد,microeconomia,microeconomía,microeconomia,mikroekonomi,мікроекономіка,معاشیات خرد,noun,Microeconomics studies firms.,Individual markets.,
